timestamp_ms,key_pressed,chTP9_raw_uv,chAF7_raw_uv,chAF8_raw_uv,chTP10_raw_uv
1772270065660,none,98.632813,253.417969,272.460938,32.714844
1772270065664,none,104.492188,246.093750,288.574219,59.570313
1772270065667,none,15.625000,194.335938,284.667969,57.128906
1772270065671,none,-60.546875,91.796875,177.246094,39.550781
1772270065675,none,-0.976563,-39.062500,48.339844,20.996094
1772270065632,none,-62.011719,-277.832031,-177.734375,13.183594
1772270065636,none,18.554688,-79.589844,-26.367188,0.976563
1772270065640,none,104.003906,426.269531,379.882813,18.554688
1772270065644,none,104.980469,695.800781,639.648438,47.363281
1772270065648,none,10.253906,500.000000,524.414063,48.339844
1772270065652,none,-52.246094,-208.984375,-90.820313,38.085938
1772270065656,none,17.089844,-215.332031,-108.886719,25.390625
1772270065660,none,98.632813,253.417969,272.460938,32.714844
1772270065664,none,104.492188,246.093750,288.574219,59.570313
1772270065667,none,15.625000,194.335938,284.667969,57.128906
1772270065671,none,-60.546875,91.796875,177.246094,39.550781
1772270065675,none,-0.976563,-39.062500,48.339844,20.996094
1772270065679,none,98.632813,279.785156,304.687500,23.925781
1772270065683,none,120.605469,740.722656,702.636719,53.222656
1772270065687,none,37.109375,796.875000,794.921875,59.570313
1772270065691,none,-53.222656,121.582031,221.679688,45.410156
1772270065695,none,-16.601563,-130.859375,-12.695313,16.113281
1772270065699,none,88.867188,226.562500,278.808594,18.066406
1772270065703,none,119.628906,630.859375,620.605469,45.898438
1772270065707,none,43.457031,651.367188,685.546875,52.246094
1772270065710,none,-56.640625,-190.917969,-23.437500,33.203125
1772270065714,none,-38.085938,-172.851563,-46.386719,7.324219
1772270065718,none,71.289063,469.726563,482.910156,8.789063
1772270065722,none,112.792969,587.402344,562.011719,29.296875
1772270065679,none,98.632813,279.785156,304.687500,23.925781
1772270065683,none,120.605469,740.722656,702.636719,53.222656
1772270065687,none,37.109375,796.875000,794.921875,59.570313
1772270065691,none,-53.222656,121.582031,221.679688,45.410156
1772270065695,none,-16.601563,-130.859375,-12.695313,16.113281
1772270065699,none,88.867188,226.562500,278.808594,18.066406
1772270065703,none,119.628906,630.859375,620.605469,45.898438
1772270065707,none,43.457031,651.367188,685.546875,52.246094
1772270065710,none,-56.640625,-190.917969,-23.437500,33.203125
1772270065714,none,-38.085938,-172.851563,-46.386719,7.324219
1772270065718,none,71.289063,469.726563,482.910156,8.789063
1772270065722,none,112.792969,587.402344,562.011719,29.296875
1772270065726,none,52.246094,691.894531,685.058594,42.480469
1772270065730,none,-48.828125,369.628906,421.386719,34.179688
1772270065734,none,-42.968750,-39.062500,38.085938,9.765625
1772270065738,none,70.800781,202.636719,230.957031,5.371094
1772270065742,none,123.046875,545.410156,508.300781,30.273438
1772270065746,none,76.171875,671.875000,653.320313,53.710938
1772270065750,none,-32.226563,145.507813,215.332031,41.015625
1772270065753,none,-45.410156,-607.910156,-450.195313,8.300781
1772270065757,none,61.523438,-256.835938,-167.480469,3.417969
1772270065761,none,115.722656,596.191406,526.855469,23.925781
1772270065765,none,86.914063,792.480469,736.816406,45.410156
1772270065769,none,-18.066406,303.222656,317.382813,36.621094
1772270065726,none,52.246094,691.894531,685.058594,42.480469
1772270065730,none,-48.828125,369.628906,421.386719,34.179688
1772270065734,none,-42.968750,-39.062500,38.085938,9.765625
1772270065738,none,70.800781,202.636719,230.957031,5.371094
1772270065742,none,123.046875,545.410156,508.300781,30.273438
1772270065746,none,76.171875,671.875000,653.320313,53.710938
1772270065750,none,-32.226563,145.507813,215.332031,41.015625
1772270065753,none,-45.410156,-607.910156,-450.195313,8.300781
1772270065757,none,61.523438,-256.835938,-167.480469,3.417969
1772270065761,none,115.722656,596.191406,526.855469,23.925781
1772270065765,none,86.914063,792.480469,736.816406,45.410156
1772270065769,none,-18.066406,303.222656,317.382813,36.621094
1772270065773,none,-59.570313,-180.664063,-161.132813,4.394531
1772270065777,none,41.503906,113.769531,75.683594,-0.976563
1772270065781,none,113.281250,391.601563,302.246094,12.207031
1772270065785,none,89.355469,563.476563,477.050781,26.367188
1772270065789,none,-21.484375,395.507813,347.167969,16.601563
1772270065792,none,-79.101563,-268.554688,-250.488281,-7.324219
1772270065796,none,14.160156,-308.593750,-280.761719,-11.718750
1772270065800,none,104.980469,-79.589844,-93.261719,5.371094
1772270065804,none,108.398438,468.750000,381.347656,31.250000
1772270065808,none,-12.695313,556.152344,478.515625,11.718750
1772270065812,none,-110.839844,-171.875000,-174.316406,-36.132813
1772270065816,none,-22.949219,-123.046875,-152.343750,-39.550781
1772270065773,none,-59.570313,-180.664063,-161.132813,4.394531
1772270065777,none,41.503906,113.769531,75.683594,-0.976563
1772270065781,none,113.281250,391.601563,302.246094,12.207031
1772270065785,none,89.355469,563.476563,477.050781,26.367188
1772270065789,none,-21.484375,395.507813,347.167969,16.601563
1772270065792,none,-79.101563,-268.554688,-250.488281,-7.324219
1772270065796,none,14.160156,-308.593750,-280.761719,-11.718750
1772270065800,none,104.980469,-79.589844,-93.261719,5.371094
1772270065804,none,108.398438,468.750000,381.347656,31.250000
1772270065808,none,-12.695313,556.152344,478.515625,11.718750
1772270065812,none,-110.839844,-171.875000,-174.316406,-36.132813
1772270065816,none,-22.949219,-123.046875,-152.343750,-39.550781
1772270065820,none,80.566406,356.933594,250.976563,-22.460938
1772270065824,none,79.589844,554.199219,434.570313,-12.695313
1772270065828,none,-12.695313,437.011719,364.257813,-0.976563
1772270065832,none,-89.843750,-121.582031,-131.835938,-12.207031
1772270065835,none,-27.343750,-143.554688,-174.804688,-32.714844
1772270065839,none,73.242188,225.097656,140.625000,-15.625000
1772270065843,none,89.355469,140.136719,94.238281,13.671875
1772270065847,none,0.000000,69.335938,63.964844,16.113281
